Date ,Time,Occupancy,Final occupancy
3/16/2021,9:18:40,1,12
3/16/2021,9:18:50,1,
3/16/2021,9:19:03,1,
3/16/2021,9:19:17,1,
3/16/2021,9:20:49,1,
3/16/2021,9:21:04,1,
3/16/2021,9:21:22,-1,
3/16/2021,9:21:41,-1,
3/16/2021,9:25:13,1,
3/16/2021,9:28:19,-1,
3/16/2021,9:30:30,1,
3/16/2021,9:38:55,1,
3/16/2021,3:01:45,1,
3/16/2021,3:01:53,1,
3/16/2021,3:02:28,1,
3/16/2021,3:06:12,1,
3/16/2021,3:11:45,-1,
3/16/2021,3:14:00,1,
3/18/2021,9:13:28,1,
3/25/2021,1:31:30,1,
